emp_no,first_name,last_name,birth_date,from_date,to_date,title
10987,Flemming,Baezner,1952-11-26,1997-05-21,9999-01-01,Engineer
10989,Sumali,Candan,1954-09-08,1985-07-20,9999-01-01,Senior Staff
10990,Shin,Foote,1954-10-22,1990-08-06,9999-01-01,Technique Leader
11004,JoAnna,Decleir,1954-08-05,2002-06-19,9999-01-01,Engineer
11009,Alper,Axelband,1954-08-30,1986-09-09,9999-01-01,Senior Staff
11012,Taegyun,Speckmann,1953-09-12,2000-03-16,9999-01-01,Staff
11019,Leon,Huttel,1954-09-06,1992-05-24,9999-01-01,Engineer
11021,Srinidhi,Henders,1954-07-13,1998-02-02,9999-01-01,Staff
11031,Ottavia,Walstra,1954-12-20,1985-10-24,9999-01-01,Senior Staff
11032,Erez,Schaaf,1953-04-19,2000-12-15,9999-01-01,Staff
11037,Lansing,Maliniak,1952-05-22,1988-01-28,9999-01-01,Engineer
11048,Jaques,Demke,1952-10-26,1999-05-27,9999-01-01,Senior Staff
11050,Elvis,Katiyar,1952-09-23,1986-05-06,9999-01-01,Senior Staff
11051,Przemyslawa,Erol,1952-10-06,1991-03-27,9999-01-01,Engineer
11061,Pintsang,Erni,1954-11-11,1997-01-15,9999-01-01,Senior Staff
11064,Shawna,Vieri,1952-08-10,1990-02-28,9999-01-01,Assistant Engineer
11066,Shaz,Langford,1954-11-06,1996-04-30,9999-01-01,Senior Staff
11070,Adib,Raney,1952-06-30,1985-07-24,9999-01-01,Engineer
11071,Kwan,Sigstam,1954-07-18,1992-05-23,9999-01-01,Engineer
11075,Karsten,Belinskaya,1954-10-28,1998-05-06,9999-01-01,Senior Engineer
11079,Piyush,Garigliano,1952-09-18,1994-05-26,9999-01-01,Engineer
11081,Barry,Boyle,1952-06-20,1985-06-17,9999-01-01,Senior Staff
11083,Shimshon,Ducloy,1954-07-09,1998-05-14,9999-01-01,Senior Staff
11085,Hailing,Thummel,1953-09-08,1996-02-10,9999-01-01,Senior Engineer
11087,Changho,Jayawardene,1954-05-17,1998-03-18,9999-01-01,Senior Engineer
11091,Souichi,Ramsay,1952-10-10,1999-09-11,9999-01-01,Engineer
11092,Narain,Stamatiou,1954-09-28,2002-04-25,9999-01-01,Staff
11098,Arnd,Covnot,1953-09-11,1997-01-08,9999-01-01,Engineer
11111,Udi,Zastre,1954-07-14,1994-12-25,9999-01-01,Assistant Engineer
11112,Boaz,Mukaidono,1954-08-05,1995-04-28,9999-01-01,Staff
11113,Shahab,Peng,1953-04-28,1985-11-30,9999-01-01,Senior Staff
11121,Vugranam,Kakkad,1953-02-13,1992-10-31,9999-01-01,Engineer
11130,Xinyu,Menhoudj,1953-01-17,1997-02-17,9999-01-01,Senior Staff
11132,Kristin,Harnett,1952-08-01,1994-08-30,9999-01-01,Engineer
11134,Sachar,Rajcani,1954-05-15,1993-05-19,9999-01-01,Engineer
11144,Carrsten,Heinisuo,1954-12-07,1996-07-19,9999-01-01,Senior Staff
11146,Ishfaq,Masand,1954-06-25,1991-08-22,9999-01-01,Senior Staff
11148,Zhanqiu,Botman,1953-01-23,1991-12-12,9999-01-01,Senior Staff
11158,Masaki,Hagimont,1952-02-23,1996-04-20,9999-01-01,Engineer
11162,Kauko,Narlikar,1953-03-25,1985-03-28,9999-01-01,Engineer
11168,Shmuel,Tetzlaff,1953-05-03,1996-07-15,9999-01-01,Senior Staff
11170,Minghong,Cannard,1952-05-05,1990-06-20,9999-01-01,Senior Engineer
11174,Akhilish,Milicia,1952-09-14,1999-06-07,9999-01-01,Engineer
11177,Chrisa,dAstous,1954-04-09,1999-09-11,9999-01-01,Senior Engineer
11180,Mitsuyuki,Bojadziev,1952-11-07,1986-06-11,9999-01-01,Engineer
11181,Hausi,Cullers,1952-05-28,1997-11-03,9999-01-01,Engineer
11185,Aloys,Baezner,1954-04-10,1995-01-26,9999-01-01,Senior Staff
11186,Kshitij,Stasinski,1953-07-15,1994-12-10,9999-01-01,Engineer
11189,Dante,Bodoff,1953-03-07,1991-09-07,9999-01-01,Senior Staff
11192,Apostol,Bahr,1952-09-06,1998-04-07,9999-01-01,Engineer
11201,Jouko,Masaki,1952-05-20,1995-10-31,9999-01-01,Staff
11208,Saniya,Valtorta,1952-05-29,1994-11-17,9999-01-01,Technique Leader
11211,Yurij,Rissland,1952-12-11,1985-09-17,9999-01-01,Senior Engineer
11217,Kellie,Mawatari,1954-07-01,1990-03-11,9999-01-01,Senior Engineer
11229,Gretta,Ramamoorthy,1953-10-20,1993-07-06,9999-01-01,Engineer
11233,Sanjit,Waschkowski,1952-05-08,1991-12-14,9999-01-01,Engineer
11249,Randi,Cyre,1954-10-01,1986-09-22,9999-01-01,Assistant Engineer
11253,Koldo,Pokrovskii,1952-09-11,1992-05-22,9999-01-01,Engineer
11254,Danel,Rindone,1954-12-14,1998-12-19,9999-01-01,Staff
11258,Aris,Maccarone,1953-10-12,1991-03-28,9999-01-01,Senior Staff
11268,Aimee,Petersohn,1954-05-14,1987-10-25,9999-01-01,Engineer
11274,Masanao,Nicolson,1954-09-08,1999-12-13,9999-01-01,Staff
11289,Chuanti,Cherinka,1953-03-20,1989-02-22,9999-01-01,Engineer
11290,Visit,Dredge,1953-05-07,1999-05-13,9999-01-01,Engineer
11292,Souichi,Sichman,1953-05-18,1989-02-11,9999-01-01,Engineer
11294,Tru,Segond,1954-06-11,1989-06-13,9999-01-01,Assistant Engineer
11295,Abdelkader,Lanzelotte,1953-02-03,1985-05-15,9999-01-01,Senior Staff
11296,Hironobu,Kenevan,1954-12-24,1989-09-26,9999-01-01,Engineer
11301,Mingzeng,Oxenboll,1953-08-19,1989-05-23,9999-01-01,Senior Staff
11317,Shigeaki,Hagimont,1954-07-24,1998-07-04,9999-01-01,Senior Staff
11320,Atilio,McAlpine,1954-04-13,1990-04-06,9999-01-01,Senior Staff
11322,Nathalie,Pocchiola,1952-07-19,1985-07-07,9999-01-01,Assistant Engineer
11324,Kauko,Billingsley,1953-11-16,1985-08-29,9999-01-01,Senior Engineer
11325,Samphel,Rossi,1952-02-06,1999-01-10,9999-01-01,Engineer
11326,Munenori,Plesums,1952-09-15,1990-02-19,9999-01-01,Engineer
11338,Kwangsub,Hanratty,1954-11-03,1998-10-28,9999-01-01,Senior Staff
11339,Flemming,Massonet,1954-06-05,1989-12-19,9999-01-01,Senior Engineer
11340,Aris,Bala,1952-12-04,1991-09-11,9999-01-01,Engineer
11343,Susanne,Erez,1954-09-10,1989-02-27,9999-01-01,Engineer
11347,Anneli,Jonsson,1954-12-27,1986-04-20,9999-01-01,Engineer
11349,Yurii,Hammerschmidt,1953-09-05,1992-06-27,9999-01-01,Assistant Engineer
11360,Fen,Schach,1953-05-24,1989-01-12,9999-01-01,Senior Staff
11365,Toshimi,Shinomoto,1953-11-17,1997-12-18,9999-01-01,Engineer
11373,Yongmao,Keohane,1953-07-29,1992-07-18,9999-01-01,Senior Staff
11376,Valery,Suomi,1952-03-10,1986-03-14,9999-01-01,Senior Staff
11380,Kenroku,Pelc,1952-04-23,1991-04-19,9999-01-01,Assistant Engineer
11385,Shiv,Ullian,1952-03-04,1999-08-08,9999-01-01,Engineer
11386,Alselm,Assaf,1954-09-27,1987-11-30,9999-01-01,Engineer
11393,Junsik,Junot,1954-05-17,1985-04-30,9999-01-01,Engineer
11398,Oscar,Peir,1953-05-30,1994-09-07,9999-01-01,Senior Staff
11401,Huan,Merey,1952-12-20,1995-04-15,9999-01-01,Staff
11404,Bedrich,Borovoy,1954-09-15,1990-09-25,9999-01-01,Technique Leader
11410,Gro,Vendrig,1953-11-27,1999-10-25,9999-01-01,Engineer
11415,Sanjiv,Anido,1953-10-29,1996-12-07,9999-01-01,Engineer
11417,Anneli,Cyne,1954-11-20,1992-12-21,9999-01-01,Technique Leader
11418,Satosi,Cooley,1954-03-21,1999-11-23,9999-01-01,Senior Staff
11421,Josyula,Msuda,1953-11-07,1986-09-02,9999-01-01,Engineer
11423,Guangming,Kopetz,1954-09-16,1998-10-13,9999-01-01,Staff
11441,Marlo,Aingworth,1954-11-16,1987-03-27,9999-01-01,Senior Staff
11446,Naftali,Narahara,1954-06-20,2001-11-20,9999-01-01,Engineer
11452,Shigehito,Luby,1953-01-16,1993-08-26,9999-01-01,Senior Staff
11459,Duke,Suomi,1953-10-14,1986-05-03,9999-01-01,Senior Staff
11469,Guttorm,Giaccio,1952-12-01,1994-09-08,9999-01-01,Engineer
11474,Gennady,Akazan,1953-04-17,1995-09-24,9999-01-01,Engineer
11476,Manton,Yoshizawa,1954-06-20,1994-01-15,9999-01-01,Staff
11479,Shridhar,Pleszkun,1953-12-02,1999-02-10,9999-01-01,Staff
11503,Nathan,Picht,1953-08-01,1997-04-09,9999-01-01,Engineer
11509,Aleksander,Feldhoffer,1954-06-18,1987-11-12,9999-01-01,Engineer
11513,Otmar,Mahnke,1954-07-16,1992-08-25,9999-01-01,Senior Staff
11518,Jinxi,Oxman,1953-07-21,1994-09-22,9999-01-01,Senior Staff
11519,Halsur,Chinen,1954-11-26,1997-06-12,9999-01-01,Senior Staff
11523,Yuguang,Pezzoli,1953-01-25,1992-12-23,9999-01-01,Assistant Engineer
11527,Alagu,Boyle,1952-02-06,1999-01-28,9999-01-01,Staff
11531,Radhika,Motley,1952-09-08,1992-11-04,9999-01-01,Technique Leader
11533,Vitaly,Lorch,1953-10-30,1991-08-20,9999-01-01,Technique Leader
11540,Chanjung,Portugali,1954-01-26,1997-07-02,9999-01-01,Engineer
11567,Teiji,Mitzlaff,1954-07-06,1988-02-03,9999-01-01,Senior Staff
11573,Pranas,Hutton,1952-12-18,1990-02-04,9999-01-01,Engineer
11577,Mayumi,Deyuan,1953-01-11,1992-09-23,9999-01-01,Engineer
11581,Patricio,Rosenbaum,1953-04-12,1992-11-13,9999-01-01,Engineer
11587,Shem,Zambonelli,1954-07-04,1989-04-24,9999-01-01,Senior Engineer
11595,Takanari,Kamber,1953-02-26,1992-09-08,9999-01-01,Senior Staff
11596,Yannik,Gunderson,1952-12-22,1995-11-23,9999-01-01,Staff
11602,Somnath,Malabarba,1953-08-09,1993-06-21,9999-01-01,Senior Staff
11603,Herb,Swen,1954-12-07,1985-04-13,9999-01-01,Senior Staff
11606,Perry,Pepe,1952-11-05,1994-09-27,9999-01-01,Senior Staff
11607,Tomokazu,Foong,1953-12-03,1995-04-19,9999-01-01,Engineer
11616,Zhilian,Brendel,1954-07-12,1993-12-30,9999-01-01,Assistant Engineer
11628,Fan,Malinowski,1952-02-14,1995-04-23,9999-01-01,Engineer
11640,Valeri,Coorg,1953-10-06,1988-09-26,9999-01-01,Senior Engineer
11644,Sanjit,Zaiane,1952-04-08,1995-08-09,9999-01-01,Assistant Engineer
11646,Lobel,Rubsam,1953-06-22,1999-12-15,9999-01-01,Engineer
11647,Magy,Nitsche,1953-10-13,1988-05-11,9999-01-01,Engineer
11649,Shen,Bernardinello,1954-10-07,2002-06-22,9999-01-01,Technique Leader
11673,Henk,Felder,1954-12-20,1989-06-10,9999-01-01,Technique Leader
11676,Valeri,Ferriere,1952-04-12,1998-07-15,9999-01-01,Engineer
11681,Fumitake,Benzmuller,1952-05-15,1988-08-27,9999-01-01,Engineer
11684,Oksana,Gide,1953-03-07,1986-02-21,9999-01-01,Senior Staff
11690,Domenick,Raczkowsky,1953-11-10,1997-09-23,9999-01-01,Staff
11693,Hideo,Coorg,1952-02-15,1991-08-24,9999-01-01,Senior Engineer
11696,Dante,Rothe,1954-10-26,1985-10-23,9999-01-01,Senior Staff
11713,Danel,Heusch,1952-02-27,1997-09-05,9999-01-01,Engineer
11733,Leszek,Sudbeck,1954-05-25,1992-01-12,9999-01-01,Engineer
11736,Shugo,Uchoa,1953-08-21,1994-03-07,9999-01-01,Senior Engineer
11737,Martina,Garnier,1952-07-17,1995-07-11,9999-01-01,Assistant Engineer
11746,Koichi,Marrakchi,1952-05-22,1988-11-17,9999-01-01,Senior Staff
11748,Lihong,Massonet,1953-03-07,1996-07-24,9999-01-01,Engineer
11751,Jiafu,Emiris,1953-02-02,1988-11-03,9999-01-01,Senior Staff
11763,Yuriy,Liesche,1953-08-19,1997-04-18,9999-01-01,Engineer
11764,Sanjay,Anick,1953-04-22,1991-12-16,9999-01-01,Engineer
11769,Chandrasekaran,Lampe,1953-07-17,1999-04-18,9999-01-01,Senior Staff
11772,Gaurav,Penz,1954-06-19,1999-11-07,9999-01-01,Engineer
11774,Aron,Wroclawski,1954-07-11,1998-11-26,9999-01-01,Engineer
11778,Dhritiman,Fontan,1953-04-23,1992-12-28,9999-01-01,Engineer
11779,Shunichi,Thombley,1952-06-07,1996-11-21,9999-01-01,Staff
11797,Chenxi,Thambidurai,1954-08-12,1996-09-28,9999-01-01,Senior Staff
11801,Tommaso,Dayang,1953-11-22,1992-06-12,9999-01-01,Senior Staff
11810,Amabile,Bhattacharjee,1952-12-08,1992-01-05,9999-01-01,Senior Engineer
11811,Herb,Boissier,1953-07-05,1992-03-28,9999-01-01,Senior Staff
11822,Sastry,Madeira,1954-08-30,1996-07-07,9999-01-01,Staff
11823,Weiyi,Iacovou,1954-09-25,1997-07-02,9999-01-01,Senior Engineer
11829,Chaosheng,Pettis,1952-08-01,1999-10-11,9999-01-01,Assistant Engineer
11832,Arto,Zlotek,1952-05-18,1996-02-04,9999-01-01,Engineer
11836,Ortrud,Bakhtari,1952-09-14,1989-07-28,9999-01-01,Senior Staff
11842,Moto,Piazza,1954-03-31,1991-12-11,9999-01-01,Senior Staff
11844,Shawna,Demeyer,1953-10-30,1988-01-27,9999-01-01,Engineer
11846,Fai,Perly,1954-04-24,1994-06-22,9999-01-01,Engineer
11853,Zeljko,Kusakabe,1952-06-19,1988-11-17,9999-01-01,Senior Staff
11862,Alejandra,Deville,1954-01-25,2000-11-22,9999-01-01,Engineer
11864,Pradeep,Kriebel,1952-06-14,1995-11-02,9999-01-01,Staff
11868,Kwee,Demke,1954-03-02,1995-04-03,9999-01-01,Engineer
11871,Nalini,Sommen,1953-05-02,1993-10-13,9999-01-01,Engineer
11872,Cheong,Riexinger,1953-01-17,1994-02-12,9999-01-01,Senior Staff
