emp_no,first_name,last_name,dept_no,dept_name
11083,Shimshon,Ducloy,d003,Human Resources
11085,Hailing,Thummel,d004,Production
11087,Changho,Jayawardene,d004,Production
11091,Souichi,Ramsay,d004,Production
11092,Narain,Stamatiou,d001,Marketing
11098,Arnd,Covnot,d005,Development
11111,Udi,Zastre,d004,Production
11112,Boaz,Mukaidono,d009,Customer Service
11113,Shahab,Peng,d001,Marketing
11121,Vugranam,Kakkad,d005,Development
11130,Xinyu,Menhoudj,d003,Human Resources
11132,Kristin,Harnett,d004,Production
11134,Sachar,Rajcani,d006,Quality Management
11144,Carrsten,Heinisuo,d007,Sales
11146,Ishfaq,Masand,d007,Sales
11148,Zhanqiu,Botman,d003,Human Resources
11158,Masaki,Hagimont,d004,Production
11162,Kauko,Narlikar,d005,Development
11168,Shmuel,Tetzlaff,d007,Sales
11170,Minghong,Cannard,d005,Development
11174,Akhilish,Milicia,d004,Production
11177,Chrisa,dAstous,d005,Development
11180,Mitsuyuki,Bojadziev,d005,Development
11181,Hausi,Cullers,d005,Development
11185,Aloys,Baezner,d009,Customer Service
11186,Kshitij,Stasinski,d004,Production
11189,Dante,Bodoff,d007,Sales
11192,Apostol,Bahr,d006,Quality Management
11201,Jouko,Masaki,d008,Research
11208,Saniya,Valtorta,d004,Production
11211,Yurij,Rissland,d004,Production
11217,Kellie,Mawatari,d004,Production
11229,Gretta,Ramamoorthy,d006,Quality Management
11233,Sanjit,Waschkowski,d005,Development
11249,Randi,Cyre,d005,Development
11253,Koldo,Pokrovskii,d005,Development
11254,Danel,Rindone,d007,Sales
11258,Aris,Maccarone,d009,Customer Service
11268,Aimee,Petersohn,d004,Production
11274,Masanao,Nicolson,d009,Customer Service
11289,Chuanti,Cherinka,d005,Development
11290,Visit,Dredge,d005,Development
11292,Souichi,Sichman,d005,Development
11294,Tru,Segond,d005,Development
11295,Abdelkader,Lanzelotte,d002,Finance
11296,Hironobu,Kenevan,d004,Production
11301,Mingzeng,Oxenboll,d003,Human Resources
11317,Shigeaki,Hagimont,d005,Development
11320,Atilio,McAlpine,d001,Marketing
11322,Nathalie,Pocchiola,d006,Quality Management
11324,Kauko,Billingsley,d004,Production
11325,Samphel,Rossi,d005,Development
11326,Munenori,Plesums,d005,Development
11338,Kwangsub,Hanratty,d007,Sales
11339,Flemming,Massonet,d004,Production
11340,Aris,Bala,d004,Production
11343,Susanne,Erez,d005,Development
11347,Anneli,Jonsson,d005,Development
11349,Yurii,Hammerschmidt,d004,Production
11360,Fen,Schach,d007,Sales
11365,Toshimi,Shinomoto,d004,Production
11373,Yongmao,Keohane,d009,Customer Service
11376,Valery,Suomi,d008,Research
11380,Kenroku,Pelc,d005,Development
11385,Shiv,Ullian,d004,Production
11386,Alselm,Assaf,d006,Quality Management
11393,Junsik,Junot,d004,Production
11398,Oscar,Peir,d002,Finance
11401,Huan,Merey,d007,Sales
11404,Bedrich,Borovoy,d005,Development
11410,Gro,Vendrig,d005,Development
11415,Sanjiv,Anido,d004,Production
11417,Anneli,Cyne,d006,Quality Management
11418,Satosi,Cooley,d001,Marketing
11421,Josyula,Msuda,d004,Production
11423,Guangming,Kopetz,d009,Customer Service
11441,Marlo,Aingworth,d007,Sales
11446,Naftali,Narahara,d005,Development
11452,Shigehito,Luby,d009,Customer Service
11459,Duke,Suomi,d003,Human Resources
11469,Guttorm,Giaccio,d004,Production
11474,Gennady,Akazan,d004,Production
11476,Manton,Yoshizawa,d001,Marketing
11479,Shridhar,Pleszkun,d002,Finance
11503,Nathan,Picht,d005,Development
11509,Aleksander,Feldhoffer,d005,Development
11513,Otmar,Mahnke,d002,Finance
11518,Jinxi,Oxman,d003,Human Resources
11519,Halsur,Chinen,d007,Sales
11523,Yuguang,Pezzoli,d005,Development
11527,Alagu,Boyle,d001,Marketing
11531,Radhika,Motley,d004,Production
11533,Vitaly,Lorch,d005,Development
11540,Chanjung,Portugali,d004,Production
11567,Teiji,Mitzlaff,d007,Sales
11573,Pranas,Hutton,d005,Development
11577,Mayumi,Deyuan,d006,Quality Management
11581,Patricio,Rosenbaum,d005,Development
11587,Shem,Zambonelli,d005,Development
11595,Takanari,Kamber,d001,Marketing
11596,Yannik,Gunderson,d002,Finance
11602,Somnath,Malabarba,d001,Marketing
11603,Herb,Swen,d002,Finance
11606,Perry,Pepe,d009,Customer Service
11607,Tomokazu,Foong,d004,Production
11616,Zhilian,Brendel,d004,Production
11628,Fan,Malinowski,d008,Research
11640,Valeri,Coorg,d005,Development
11644,Sanjit,Zaiane,d004,Production
11646,Lobel,Rubsam,d005,Development
11647,Magy,Nitsche,d005,Development
11649,Shen,Bernardinello,d008,Research
11673,Henk,Felder,d004,Production
11676,Valeri,Ferriere,d004,Production
11681,Fumitake,Benzmuller,d004,Production
11684,Oksana,Gide,d001,Marketing
11690,Domenick,Raczkowsky,d003,Human Resources
11693,Hideo,Coorg,d005,Development
11696,Dante,Rothe,d007,Sales
11713,Danel,Heusch,d006,Quality Management
11733,Leszek,Sudbeck,d005,Development
11736,Shugo,Uchoa,d004,Production
11737,Martina,Garnier,d006,Quality Management
11746,Koichi,Marrakchi,d007,Sales
11748,Lihong,Massonet,d005,Development
11751,Jiafu,Emiris,d008,Research
11763,Yuriy,Liesche,d005,Development
11764,Sanjay,Anick,d004,Production
11769,Chandrasekaran,Lampe,d005,Development
11772,Gaurav,Penz,d005,Development
11774,Aron,Wroclawski,d004,Production
11778,Dhritiman,Fontan,d004,Production
11779,Shunichi,Thombley,d008,Research
11797,Chenxi,Thambidurai,d001,Marketing
11801,Tommaso,Dayang,d007,Sales
11810,Amabile,Bhattacharjee,d005,Development
11811,Herb,Boissier,d007,Sales
11822,Sastry,Madeira,d009,Customer Service
11823,Weiyi,Iacovou,d008,Research
11829,Chaosheng,Pettis,d004,Production
11832,Arto,Zlotek,d005,Development
11836,Ortrud,Bakhtari,d008,Research
11842,Moto,Piazza,d008,Research
11844,Shawna,Demeyer,d005,Development
11846,Fai,Perly,d004,Production
11853,Zeljko,Kusakabe,d001,Marketing
11862,Alejandra,Deville,d006,Quality Management
11864,Pradeep,Kriebel,d009,Customer Service
11868,Kwee,Demke,d006,Quality Management
11871,Nalini,Sommen,d005,Development
11872,Cheong,Riexinger,d001,Marketing
11876,Leszek,Kobuchi,d005,Development
11881,Arra,Staelin,d007,Sales
11888,Badri,Azulay,d001,Marketing
11894,Mitchel,Validov,d005,Development
11896,Shaunak,Benzmuller,d004,Production
11897,Cordelia,Setlzner,d007,Sales
11911,Ashish,Mondadori,d005,Development
11915,Miomir,Mawatari,d004,Production
11931,Gunilla,Chiodo,d008,Research
11933,Basil,Erman,d005,Development
11938,Aruna,Verspoor,d004,Production
11940,Ult,Anido,d005,Development
11944,Along,Aumann,d006,Quality Management
11945,Limsoon,Marakhovsky,d003,Human Resources
11948,Yahiko,Nergos,d009,Customer Service
11949,Martijn,Harbusch,d004,Production
11965,Arup,Morrey,d004,Production
11972,Sibyl,Beausoleil,d001,Marketing
11983,Jaana,Hedayat,d005,Development
11989,Erzsebet,Peltason,d004,Production
11994,Sigeru,Fiebach,d001,Marketing
12007,Marko,Dehkordi,d005,Development
12011,Zhilian,Coorg,d007,Sales
12015,Kensei,Guenter,d008,Research
12023,Chuanyi,Eppinger,d006,Quality Management
12024,Mayumi,Lanzelotte,d003,Human Resources
12028,Ingemar,Walstra,d005,Development
12030,Shuky,Cromarty,d003,Human Resources
12034,Aemilian,Piazza,d007,Sales
12036,Mads,Ratzlaff,d007,Sales
12037,Arunas,Katzenelson,d009,Customer Service
12043,Masaki,Lubachevsky,d008,Research
12047,Jordanka,Ligten,d006,Quality Management
12050,Yuchang,Tchuente,d004,Production
12054,Odysseas,Braccini,d007,Sales
12062,Margareta,Worfolk,d003,Human Resources
12069,Ayonca,Burnard,d005,Development
12080,Panayotis,Feinberg,d007,Sales
12082,Xinan,Yamaashi,d007,Sales
12089,Bilhanan,Socorro,d003,Human Resources
12093,Evgueni,Oxenboll,d005,Development
12099,Nobuyoshi,Kuzuoka,d007,Sales
12102,Aron,Erde,d007,Sales
12112,Satyanarayana,Avouris,d002,Finance
12114,Shiv,Rubsam,d008,Research
12122,Satoru,Krone,d004,Production
12123,Xiahua,Syrzycki,d008,Research
12125,Shounak,Erman,d004,Production
12138,Takahito,Brender,d004,Production
12140,Xudong,Paciorek,d003,Human Resources
12149,Suebskul,Grandbois,d007,Sales
12160,Aamer,Garrabrants,d007,Sales
12164,Muneo,Chachaty,d005,Development
12165,Xiaobin,Maquelin,d005,Development
12168,Arnd,Salverda,d009,Customer Service
12172,Jianhua,Llado,d003,Human Resources
12183,Harngdar,Iisaku,d006,Quality Management
12186,Guther,Nooteboom,d009,Customer Service
12190,Abdulah,Engberts,d005,Development
12191,Rosella,Bazzichi,d004,Production
12192,Feiyu,Klyachko,d006,Quality Management
12206,Barton,Janetzko,d005,Development
12210,Vugranam,Ashish,d008,Research
12213,Kwangho,Brizzi,d007,Sales
12216,Aloke,Mansanne,d006,Quality Management
12218,Yaghout,Strooper,d006,Quality Management
12219,Junsik,Gadepally,d008,Research
12222,Abdelwaheb,Holburn,d002,Finance
12223,Niteen,Koyama,d004,Production
12230,Yuriy,Bellone,d005,Development
12231,Nishit,Bharadwaj,d004,Production
12235,Honesty,Haumacher,d007,Sales
12242,Satoru,Wolniewicz,d005,Development
12247,Subbu,Penttonen,d005,Development
12249,Eldridge,Sadowski,d005,Development
12250,Kerhong,Aloia,d005,Development
12264,Mart,Pagter,d005,Development
12269,Mohammed,Whitcomb,d006,Quality Management
12270,Shakhar,Kornyak,d008,Research
12273,Jaideep,Uehara,d007,Sales
12281,Hisao,Langford,d005,Development
12282,Tadahiro,Delgrange,d005,Development
12291,Masamitsu,Koyama,d007,Sales
12298,Tetsurou,Rodham,d008,Research
12308,Mototsugu,Cronau,d003,Human Resources
12316,Hyuncheol,Duclos,d004,Production
12317,Weiyi,Crabtree,d004,Production
12327,DAIDA,Bruckman,d005,Development
12328,Atilio,Prampolini,d003,Human Resources
12338,Kagan,Besselaar,d002,Finance
12339,Pranay,Czaja,d008,Research
12343,Sorina,Slaats,d004,Production
12355,Vidar,Hutton,d004,Production
12364,Neelam,Cummings,d004,Production
12365,Kamakshi,Bisiani,d004,Production
12373,Mooi,Driscoll,d007,Sales
12381,Amalendu,Klerer,d008,Research
12388,Arumugam,Hebert,d004,Production
12394,Stevo,Reeken,d006,Quality Management
12411,Shao,Ibel,d007,Sales
12422,Berhard,Demos,d003,Human Resources
12426,Shahaf,Valtorta,d006,Quality Management
12434,Xumin,Bernardinello,d004,Production
12438,Yongmao,Mondadori,d009,Customer Service
12450,Sanjeeva,Perng,d005,Development
12452,Hiroyasu,Francisci,d004,Production
12454,Kerryn,Farris,d007,Sales
12466,Cullen,Nations,d002,Finance
12468,Ioana,Baezner,d003,Human Resources
12475,Filipe,Roison,d005,Development
12480,Tetsushi,Schade,d002,Finance
12487,Mona,Reghbati,d002,Finance
12488,Etsuo,Gerteisen,d005,Development
12492,Kristinn,Hammerschmidt,d004,Production
12497,Stein,Penz,d007,Sales
12501,Morrie,Matheson,d002,Finance
12502,Danil,VanScheik,d004,Production
12504,Adly,Rosaz,d004,Production
12509,Rutger,Krzyzanowski,d009,Customer Service
12514,Tomofumi,Melter,d005,Development
12515,Pranav,Wilharm,d004,Production
12520,Goetz,Basart,d004,Production
12522,Trygve,Zhang,d004,Production
12523,Tonia,Casley,d007,Sales
12524,Tetsushi,Demeyer,d005,Development
12528,Conor,Cincotta,d009,Customer Service
12534,Yongmao,Gerlach,d004,Production
12540,Poornachandra,Bresenham,d003,Human Resources
12541,Shih,Nanard,d007,Sales
12542,Kazuhide,Bouloucos,d003,Human Resources
12551,Jeane,Tzvieli,d004,Production
12553,Aral,Vesna,d003,Human Resources
12555,Spyrose,DuCasse,d005,Development
12557,Stafford,Kopetz,d004,Production
12563,Honesty,Ducloy,d005,Development
12571,Abdelaziz,Candan,d004,Production
12574,Mong,Gelosh,d005,Development
12586,Oguz,Tasistro,d006,Quality Management
12588,Yagil,Kenevan,d005,Development
12589,Anoosh,Chleq,d005,Development
12590,Gita,Rosenbaum,d007,Sales
12597,Kazuhito,Petereit,d009,Customer Service
12603,Utpal,Roison,d003,Human Resources
12612,Chandrasekaran,Thimonier,d007,Sales
12617,Shawna,Rusterholz,d007,Sales
12623,Raimond,Scharstein,d001,Marketing
12626,Gill,Comyn,d004,Production
12630,Sreekrishna,Falco,d009,Customer Service
12635,Xinyu,Restivo,d009,Customer Service
12638,Yuqun,Seiwald,d005,Development
12639,Zeljko,Schapire,d004,Production
12644,Bernt,Jayawardene,d004,Production
12651,Pragnesh,Bael,d007,Sales
12662,Leucio,Alvarado,d005,Development
12663,Nobuyoshi,Stellhorn,d005,Development
12664,Zhonghua,Parveen,d009,Customer Service
12670,Seongbae,Alameldin,d004,Production
12672,Mayumi,Varman,d006,Quality Management
12680,Bader,Staudhammer,d001,Marketing
12687,Weicheng,Badache,d007,Sales
12689,Luerbio,Boudaillier,d005,Development
12691,Oddvar,Gils,d004,Production
12707,Gregory,Zastre,d007,Sales
12717,Tzu,Jiafu,d008,Research
12725,Inderjeet,Flexer,d003,Human Resources
12726,Fumitake,Panwar,d005,Development
12729,Nahla,Rahier,d009,Customer Service
12731,Yongmao,Waymire,d003,Human Resources
12732,Mara,Takanami,d007,Sales
12734,Gil,Frijda,d005,Development
12746,Heekeun,Lunn,d004,Production
12748,Berry,Kakkar,d006,Quality Management
12753,Kazuhito,Syrotiuk,d004,Production
12761,Hitofumi,Schaad,d007,Sales
12773,Jenwei,Lovengreen,d005,Development
12774,Moon,Asrin,d005,Development
12777,Sreenivas,Cichocki,d007,Sales
12785,Bouchung,Armand,d009,Customer Service
12786,Weiyi,Schusler,d004,Production
12790,Gunilla,Perl,d007,Sales
12795,Masoud,Fordan,d002,Finance
12796,Saniya,Stanfel,d004,Production
12798,Lillian,Beeson,d007,Sales
12799,Tiina,Businaro,d003,Human Resources
12803,Gad,Boissier,d001,Marketing
12819,Mountaz,Gubsky,d004,Production
12821,Arco,Gihr,d008,Research
12828,Oksana,Camurati,d002,Finance
12840,Zhensheng,Ferretti,d005,Development
12848,Kazuhide,Smeets,d005,Development
12851,Kwangyoen,Ramsay,d002,Finance
12855,Mabhin,Murrill,d003,Human Resources
12857,Alagu,Gils,d005,Development
12863,Leif,Matheson,d004,Production
12865,Katsuyuki,Rothe,d008,Research
12868,Berthier,Nanard,d006,Quality Management
12869,Jacopo,Swiler,d008,Research
12872,Marl,Schmittgen,d007,Sales
12881,Huai,Yurek,d007,Sales
12885,Anwar,Collavizza,d008,Research
12887,Hilari,DuBourdieux,d005,Development
12889,Mayumi,Mukaidono,d005,Development
12893,Licheng,Crouzet,d007,Sales
12895,Roddy,Serot,d004,Production
12899,Chinho,Sethi,d003,Human Resources
12923,Chaosheng,Journel,d005,Development
12926,Heekeun,Luby,d008,Research
12934,Adil,Solares,d005,Development
12940,Odinaldo,Farrar,d005,Development
12941,Tommaso,Perelgut,d005,Development
12962,Paraskevi,Beerel,d007,Sales
12977,Byong,Markovitch,d005,Development
12982,Sachem,Aamodt,d005,Development
12983,Elliott,Hambrick,d002,Finance
12986,Khun,Hennebert,d004,Production
12987,Youngkon,Kading,d004,Production
13002,Henk,Muhlberg,d005,Development
13004,Fan,Beznosov,d004,Production
13013,Heekeun,Baak,d004,Production
13046,Vivian,Stafford,d002,Finance
13047,Atilio,Chelton,d005,Development
13048,Kerhong,Massonet,d005,Development
13052,Aleksandar,Schlenzig,d005,Development
13054,Samphel,Masamoto,d004,Production
13076,Deniz,Skafidas,d005,Development
13084,Domenico,Pagter,d002,Finance
13086,Dzung,Domenig,d003,Human Resources
13093,Sajjan,Unno,d007,Sales
13096,Ibibia,Armand,d006,Quality Management
13103,Srinidhi,Ellozy,d005,Development
13110,Maria,Kamble,d005,Development
13126,Parviz,Hennebert,d004,Production
13143,Qingxiang,Ventosa,d004,Production
13144,Persi,Nollmann,d002,Finance
13146,Haldon,Erie,d007,Sales
13150,Mahmut,Stavenow,d006,Quality Management
13156,Akeel,Millington,d005,Development
13159,Jingling,Ranst,d002,Finance
13165,Lucian,Benner,d006,Quality Management
13168,Munir,Stentiford,d004,Production
13171,Anoosh,Birnbaum,d006,Quality Management
13173,Arve,Horswill,d007,Sales
13182,Kokou,Rodite,d004,Production
13192,Rosita,Flowers,d004,Production
13200,Weidon,Pauthner,d004,Production
13202,Aram,Scharstein,d008,Research
13203,Phule,Emmart,d009,Customer Service
13204,Mircea,Pellegrinelli,d004,Production
13206,Tetsurou,Rullman,d002,Finance
13210,Jianhua,Klassen,d001,Marketing
13213,Hein,Billawala,d007,Sales
13216,Stabislas,Weedman,d009,Customer Service
13227,Goncalo,Pell,d007,Sales
13233,Alselm,Chvatal,d005,Development
13238,Ebru,Foote,d007,Sales
13246,Adil,Siepmann,d007,Sales
13250,Zeydy,Schusler,d004,Production
13260,JoAnna,McDermid,d005,Development
13272,Arun,Jiang,d009,Customer Service
13282,Cordelia,Macedo,d002,Finance
13288,Muneo,Broomell,d003,Human Resources
13291,Georg,Stamatiou,d005,Development
13294,Haldun,Stroustrup,d009,Customer Service
13302,Mack,Alencar,d005,Development
13303,Koldo,Rissanen,d007,Sales
13309,Toshimori,Lipner,d004,Production
13312,Filipp,Schurmann,d008,Research
13320,Gino,Bahr,d005,Development
13332,Nidapan,Pearson,d004,Production
13333,Yoshinari,Hennebert,d004,Production
13341,Bodh,Doering,d001,Marketing
13343,Heon,Usery,d002,Finance
13346,Francoise,Zastre,d005,Development
13347,Lein,Sifakis,d005,Development
13349,Zeydy,Danner,d007,Sales
13357,Mabry,Llado,d004,Production
13368,Kiyokazu,Klassen,d003,Human Resources
13371,Nakhoon,Riexinger,d004,Production
13373,Juichirou,Naumovich,d003,Human Resources
13374,Atreye,Kalefeld,d005,Development
13378,Rafols,Zhiwei,d005,Development
13379,Kinh,Engelmann,d009,Customer Service
13385,Claudi,Buchter,d003,Human Resources
13386,Khosrow,Sgarro,d005,Development
13388,Shuji,Cesareni,d004,Production
13389,Divine,Cmelik,d008,Research
13390,Nathan,Hutton,d004,Production
13392,Fumitake,Beidas,d007,Sales
13394,Anneke,Lorys,d001,Marketing
13396,Chuanyi,Aumann,d009,Customer Service
13405,Randy,Baba,d007,Sales
13407,Gio,Chenoweth,d004,Production
13408,Sreekrishna,Lagarias,d004,Production
13412,Ranga,Erdmenger,d001,Marketing
13417,Dipayan,Condotta,d007,Sales
13422,Vishwani,Gerlach,d006,Quality Management
13439,Domenick,Ullian,d004,Production
13442,Giordano,Miake,d003,Human Resources
13443,Mayuko,Puppo,d006,Quality Management
13445,Renee,Dehkordi,d004,Production
13451,Gretta,Weiland,d003,Human Resources
13458,Feipei,Nivat,d009,Customer Service
13463,Theron,Berstel,d004,Production
13465,Sasan,Rehfuss,d004,Production
13467,Zhigen,Katzenelson,d005,Development
13472,Dzung,Larfeldt,d004,Production
13475,Kamakshi,Piancastelli,d007,Sales
13493,Uinam,Jullig,d005,Development
13500,Irene,Erol,d004,Production
13504,Parto,Mandell,d005,Development
13505,Chandrasekaran,Hambrick,d009,Customer Service
13520,Takahiro,Mahnke,d004,Production
13522,Jaewon,Vingron,d001,Marketing
13523,Dines,Karunanithi,d009,Customer Service
13535,Arunas,Schlenzig,d004,Production
13539,Cedric,Bala,d005,Development
13540,Cordelia,Krohn,d007,Sales
13549,Matk,Koprowski,d005,Development
13571,Eben,Passino,d004,Production
13575,Kazuhiko,Hettesheimer,d004,Production
13576,Jungsoon,Engberts,d005,Development
13591,Jinxi,Poulakidas,d005,Development
13596,Georg,Marletta,d004,Production
13605,Dmitry,Encarnacion,d007,Sales
13612,Shao,Mansanne,d004,Production
13621,Fei,Haddadi,d005,Development
13624,Zhigen,Yurek,d003,Human Resources
13629,Dzung,Trelles,d005,Development
13642,Inderjeet,Luit,d001,Marketing
13643,Geoff,Chenney,d005,Development
